id,proc,Train,Rank,Encode,name
117,DBLPProcessor,0.20182778769069248,0.2220221658547719,0.0013133386770884197,Complaint
119,DBLPProcessor,0.1758633520868089,0.02142986986372211,0.0008105436960856116,Loss
120,DBLPProcessor,0.20707091689109827,0.2326300243536631,0.0013305511739518906,Tiresias
148,DBLPProcessor,0.23324675030178504,45.964332001076805,0.0014666616916656494,SelfLoss
187,DBLPProcessor,1.5293768246968593,0.28339299559593195,0.0017009278138478596,Complaint
190,DBLPProcessor,1.8104688790109418,0.03110290567080176,0.0018138024542066786,Loss
191,DBLPProcessor,1.2609148555331762,0.273640943898095,0.0015680392583211262,Tiresias
229,DBLPProcessor,0.9800808793968628,44.367545015282104,0.0015038914150661891,SelfLoss
294,DBLPProcessor,0.36191494928465995,0.03904822468757624,0.0015742248959011499,Loss
296,DBLPProcessor,0.35827248957422014,0.035338994529512176,0.0015595787101321751,Loss
297,DBLPProcessor,0.3485792709721459,0.32307094335555964,0.0017230146461062962,Complaint
299,DBLPProcessor,0.3374844259685943,0.31925636861059364,0.001660237709681193,Tiresias
302,DBLPProcessor,0.3375075426366594,0.3182137939665058,0.0016299088795979821,Complaint
304,DBLPProcessor,0.3466394245624547,0.32148791684044775,0.0015783276822831898,Tiresias
